Table S2. Data dictionary for NEON PLFA synthesis dataset (127 variables),,,
,,,
column_name,data_type,description,units
soilInWaterpH,numeric,Soil pH measured in water (from NEON sls_soilpH),pH units
soilInCaClpH,numeric,Soil pH measured in 0.01 M CaCl2 (from NEON sls_soilpH),pH units
organicCPercent,numeric,Soil organic carbon content (from NEON sls_soilChemistry; available for a subset of samples),%
nitrogenPercent,numeric,Soil total nitrogen content (from NEON sls_soilChemistry; available for a subset of samples),%
CN_ratio,numeric,Soil carbon:nitrogen ratio (organicCPercent / nitrogenPercent; available for a subset of samples),dimensionless
organicd13C,numeric,"Soil organic matter δ13C stable isotope ratio (from NEON sls_soilChemistry; available for a subset of samples)",per mil
d15N,numeric,"Soil δ15N stable isotope ratio (from NEON sls_soilChemistry; available for a subset of samples)",per mil
biomass_per_gC_nmol_gC,numeric,Microbial biomass normalized to soil organic carbon content (available for a subset of samples),nmol/gC
soilType,character,USDA soil taxonomy classification from Megapit,character
soilOrder,character,USDA soil order,character
soilSuborder,character,USDA soil suborder,character
soilGreatGroup,character,USDA soil great group,character
soilSubgroup,character,USDA soil subgroup,character
microbial_biomass_nmol_g,numeric,"Total microbial biomass, C18:0-corrected (nmol lipids per g dry soil)",nmol/g
fungal_plfa_nmol_g,numeric,Fungal PLFA biomass (nmol per g dry soil),nmol/g
bacterial_plfa_nmol_g,numeric,Bacterial PLFA biomass (nmol per g dry soil),nmol/g
FB_ratio,numeric,Fungal:bacterial ratio (dimensionless),dimensionless
gram_positive,numeric,"Gram-positive bacterial PLFA biomass (sum of branched markers i14:0, i15:0, a15:0, i16:0, i17:0, a17:0; nmol per g dry soil)",nmol/g
gram_negative,numeric,Gram-negative bacterial PLFA biomass (sum of 16:1ω7c and 18:1ω7c; nmol per g dry soil),nmol/g
GP_GN_ratio,numeric,Gram-positive:gram-negative bacterial ratio (dimensionless),dimensionless
stress_index_cy19,numeric,"Cyclopropyl:precursor physiological stress index computed as cy19:0/18:1ω7c (cyclo19To0ScaledConcentration / c18To1n11ScaledConcentration). Higher values indicate greater physiological stress. Available for the full record (2017 onward).",dimensionless
stress_index_cy17,numeric,"Cyclopropyl:precursor physiological stress index computed as cy17:0/16:1ω7c (cyclo17To0ScaledConcentration / c16To1n7ScaledConcentration). Available 2021 onward, when 16:1ω7c was consistently resolved as a distinct biomarker.",dimensionless
stress_index_combined,numeric,"Combined cyclopropyl:precursor (""Cyclopropyl to Precursor"") stress index computed as (cy17:0 + cy19:0) / (16:1ω7c + 18:1ω7c). Available 2021 onward. Higher values indicate greater physiological stress.",dimensionless
